id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
87551,Mario Kart 8 Deluxe,2017-04-28,9.01,https://www.mobygames.com/game/87551/mario-kart-8-deluxe/,Nintendo Switch,"Racing / Driving, Arcade, Motorcycle, Fantasy, Behind view, Direct control, Motion control, Automobile, Track racing",Nintendo EAD,"Shenzhen Tencent Computer System Co., Ltd., Nintendo Co., Ltd."
84595,The Legend of Zelda: Breath of the Wild,2017-03-03,9.35,https://www.mobygames.com/game/84595/the-legend-of-zelda-breath-of-the-wild/,"Wii U, Nintendo Switch","Action, Sci-fi / futuristic, Puzzle elements, Post-apocalyptic, Fantasy, Behind view, Sandbox / open world, RPG elements, Direct control, Motion control",Nintendo EPD,"Nintendo Co., Ltd."
62785,The Legend of Zelda: A Link Between Worlds,2013-11-22,8.83,https://www.mobygames.com/game/62785/the-legend-of-zelda-a-link-between-worlds/,Nintendo 3DS,"Action, Metroidvania, Puzzle elements, Fantasy, Diagonal-down, Direct control",Nintendo EAD,"Nintendo Co., Ltd."
12679,Super Mario All-Stars + Super Mario World,1994-12,8.57,https://www.mobygames.com/game/12679/super-mario-all-stars-super-mario-world/,SNES,Compilation,"Nintendo Co., Ltd.","Nintendo Co., Ltd."
96127,Super Mario Odyssey,2017-10-27,9.43,https://www.mobygames.com/game/96127/super-mario-odyssey/,Nintendo Switch,"Action, Platform, Fantasy, Behind view, Direct control",Nintendo EPD,"Nintendo Co., Ltd., Shenzhen Tencent Computer System Co., Ltd."
203119,The Legend of Zelda: Tears of the Kingdom,2023-05-12,9.32,https://www.mobygames.com/game/203119/the-legend-of-zelda-tears-of-the-kingdom/,Nintendo Switch,"Action, Puzzle elements, Fantasy, Behind view, Sandbox / open world, RPG elements, Direct control",Nintendo EPD,"Nintendo Co., Ltd."
52226,Xenoblade Chronicles,2010-06-10,8.97,https://www.mobygames.com/game/52226/xenoblade-chronicles/,"Wii, Wii U, New Nintendo 3DS","Real-time, Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Japanese-style RPG (JRPG), Sandbox / open world, Action RPG","Monolith Software, Inc.","Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd."
19132,Super Mario Bros. / Duck Hunt,1988-11,8.33,https://www.mobygames.com/game/19132/super-mario-bros-duck-hunt/,NES,Compilation,"Nintendo Co., Ltd.","Nintendo Co., Ltd."
6613,Super Mario All-Stars,1993-07-14,8.74,https://www.mobygames.com/game/6613/super-mario-all-stars/,"SNES, Nintendo Switch","Action, Side view, Platform, Compilation, 2D scrolling, Direct control","Nintendo Co., Ltd.","Nintendo Co., Ltd."
65975,Mario Kart 8,2014-05-29,8.62,https://www.mobygames.com/game/65975/mario-kart-8/,Wii U,"Racing / Driving, Arcade, Motorcycle, Fantasy, Behind view, Direct control, Motion control, Automobile, Track racing",Nintendo EAD,"Nintendo Co., Ltd."
