id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
12679,Super Mario All-Stars + Super Mario World,1994-12,8.57,https://www.mobygames.com/game/12679/super-mario-all-stars-super-mario-world/,SNES,Compilation,"Nintendo Co., Ltd.","Nintendo Co., Ltd."
6613,Super Mario All-Stars,1993-07-14,8.74,https://www.mobygames.com/game/6613/super-mario-all-stars/,"SNES, Nintendo Switch","Action, Side view, Platform, Compilation, 2D scrolling, Direct control","Nintendo Co., Ltd.","Nintendo Co., Ltd."
6591,Super Mario World,1990-11-21,8.64,https://www.mobygames.com/game/6591/super-mario-world/,"SNES, Wii, Wii U, Arcade, New Nintendo 3DS, Nintendo Switch","Action, Side view, Platform, 2D scrolling, Direct control, Regional differences","Nintendo Co., Ltd.","Nintendo Co., Ltd."
6627,Super Metroid,1994-03-19,8.79,https://www.mobygames.com/game/6627/super-metroid/,"SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Sci-fi / futuristic, Side view, Platform, Shooter, Metroidvania, 2D scrolling","Intelligent Systems Co., Ltd., Nintendo R&D1","Nintendo Co., Ltd."
6676,EarthBound,1994-08-27,8.52,https://www.mobygames.com/game/6676/earthbound/,"SNES, Wii U, New Nintendo 3DS, Nintendo Switch","Sci-fi / futuristic, Isometric, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Comedy, Diagonal-down, 2D scrolling, Japanese-style RPG (JRPG), Regional differences","Ape, HAL Laboratory, Inc.","Nintendo Co., Ltd."
4501,Chrono Trigger,1995-03-11,8.51,https://www.mobygames.com/game/4501/chrono-trigger/,"PlayStation, SNES, Nintendo DS, PSP, DoJa, PlayStation 3, Wii, iPhone, Android, iPad, PS Vita, tvOS","Sci-fi / futuristic, Top-down, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Japanese-style RPG (JRPG), Steampunk","Square Co., Ltd.","Square Soft, Inc., Square Enix Co., Ltd., Square Co., Ltd., Square Enix Co., Ltd., Square Enix, Inc., Square Enix Ltd, Sony Computer Entertainment America LLC, Square Enix Limited"
6608,The Legend of Zelda: A Link to the Past,1991-11-21,8.49,https://www.mobygames.com/game/6608/the-legend-of-zelda-a-link-to-the-past/,"SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Metroidvania, Puzzle elements, Anime / Manga, Fantasy, Diagonal-down, Direct control, Regional differences",Nintendo EAD,"Nintendo Co., Ltd."
5202,Final Fantasy III,1994-04-02,8.36,https://www.mobygames.com/game/5202/final-fantasy-iii/,"Windows, PlayStation, Game Boy Advance, SNES, PSP, PlayStation 3, Wii, iPhone, Android, iPad, PS Vita, Wii U, Fire OS","Sci-fi / futuristic, Real-time, Role-playing (RPG), Anime / Manga, Fantasy, Turn-based, Diagonal-down, 2D scrolling, Japanese-style RPG (JRPG), Direct control, Menu structures, Steampunk, Regional differences","Square Enix Co., Ltd., Square Co., Ltd.","Square Soft, Inc., Square Enix Co., Ltd., Square Co., Ltd., Nintendo of America Inc., Square Enix, Inc., Square Enix Co., Ltd., Sony Computer Entertainment America LLC, Nintendo of Europe GmbH, Square Enix Limited, Sony Computer Entertainment Europe Ltd."
10119,Super Street Fighter II,1993-09-10,7.87,https://www.mobygames.com/game/10119/super-street-fighter-ii/,"DOS, SNES, Genesis, Amiga, Wii, FM Towns, Sharp X68000, Wii U, Arcade, New Nintendo 3DS","Action, Side view, Martial arts, Fighting, 2D scrolling","Capcom Co., Ltd.","SEGA Enterprises Ltd., Capcom Co., Ltd., U.S. Gold Ltd., Nintendo Co., Ltd."
6587,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-21,8.28,https://www.mobygames.com/game/6587/donkey-kong-country-2-diddys-kong-quest/,"Game Boy Advance, SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Side view, Platform, Fantasy, 2D scrolling, Direct control",Rare Limited,"Nintendo Co., Ltd."
5199,Donkey Kong Country,1994-11-01,8.18,https://www.mobygames.com/game/5199/donkey-kong-country/,"Game Boy Color, Game Boy Advance, SNES, Wii, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Side view, Platform, 2D scrolling",Rare Limited,"Nintendo Co., Ltd."
6024,Tetris Attack,1996-08,8.17,https://www.mobygames.com/game/6024/tetris-attack/,"Game Boy, SNES, Nintendo 3DS","Action, Side view, Puzzle, Fixed / flip-screen, Falling block puzzle, Tile matching puzzle","Nintendo Co., Ltd., Intelligent Systems Co., Ltd.","Nintendo Co., Ltd."
9101,Demon's Crest,1994-10-21,8.1,https://www.mobygames.com/game/9101/demons-crest/,"SNES, Wii U, New Nintendo 3DS, Nintendo Switch","Action, Arcade, Side view, Platform, Metroidvania, Fantasy, 2D scrolling, Direct control","Capcom Co., Ltd.","Capcom Co., Ltd., Nintendo Co., Ltd."
6602,Super Mario World 2: Yoshi's Island,1995-08-05,8.58,https://www.mobygames.com/game/6602/super-mario-world-2-yoshis-island/,"SNES, Nintendo Switch","Action, Side view, Platform, Anime / Manga, 2D scrolling","Nintendo Co., Ltd.","Nintendo Co., Ltd."
6619,Super Castlevania IV,1991-10-31,8.41,https://www.mobygames.com/game/6619/super-castlevania-iv/,"SNES, Wii, Wii U, New Nintendo 3DS","Action, Side view, Platform, Fantasy, Horror, 2D scrolling, Regional differences","Konami Co., Ltd.","Konami Corporation, Konami Deutschland GmbH, Konami Digital Entertainment GmbH, Konami Co., Ltd., Konami Digital Entertainment, Inc., Konami, Inc."
6239,Street Fighter II,1991-02,7.7,https://www.mobygames.com/game/6239/street-fighter-ii/,"DOS, SNES, Amiga, Atari ST, Commodore 64, ZX Spectrum, Wii, Browser, Wii U, Arcade","Action, Side view, Fighting, Anime / Manga, 2D scrolling, Direct control","Capcom Co., Ltd.","U.S. Gold Ltd., Capcom Co., Ltd."
6776,Kirby Super Star,1996-03-21,8.23,https://www.mobygames.com/game/6776/kirby-super-star/,"SNES, Wii, Wii U, Nintendo Switch","Action, Side view, Platform, Fantasy, 2D scrolling","HAL Laboratory, Inc.","Nintendo Co., Ltd."
1334,Mega Man X,1993-10,8.09,https://www.mobygames.com/game/1334/mega-man-x/,"DOS, SNES, DoJa, Wii, iPhone, iPad, Wii U, New Nintendo 3DS, Browser, Android","Action, Sci-fi / futuristic, Arcade, Side view, Platform, Shooter, Anime / Manga, 2D scrolling","Capcom Co., Ltd.","Capcom Mobile, Inc., Capcom Co., Ltd., Nintendo Co., Ltd."
